id ; Experiment ; nb_agents ; time
0 ; offices_range1_agents ; 2 ; 0.02
1 ; offices_range1_agents ; 2 ; 0.02
2 ; offices_range1_agents ; 5 ; 0.02
3 ; offices_range1_agents ; 2 ; 0.03
4 ; offices_range1_agents ; 2 ; 0.03
5 ; offices_range1_agents ; 5 ; 0.03
6 ; offices_range1_agents ; 5 ; 0.03
7 ; offices_range1_agents ; 10 ; 0.03
8 ; offices_range1_agents ; 2 ; 0.04
9 ; offices_range1_agents ; 2 ; 0.04
10 ; offices_range1_agents ; 2 ; 0.04
11 ; offices_range1_agents ; 5 ; 0.04
12 ; offices_range1_agents ; 5 ; 0.04
13 ; offices_range1_agents ; 10 ; 0.04
14 ; offices_range1_agents ; 2 ; 0.05
15 ; offices_range1_agents ; 2 ; 0.05
16 ; offices_range1_agents ; 5 ; 0.05
17 ; offices_range1_agents ; 5 ; 0.05
18 ; offices_range1_agents ; 5 ; 0.05
19 ; offices_range1_agents ; 5 ; 0.05
20 ; offices_range1_agents ; 5 ; 0.05
21 ; offices_range1_agents ; 10 ; 0.05
22 ; offices_range1_agents ; 10 ; 0.05
23 ; offices_range1_agents ; 2 ; 0.06
24 ; offices_range1_agents ; 2 ; 0.06
25 ; offices_range1_agents ; 2 ; 0.06
26 ; offices_range1_agents ; 2 ; 0.06
27 ; offices_range1_agents ; 2 ; 0.06
28 ; offices_range1_agents ; 2 ; 0.06
29 ; offices_range1_agents ; 2 ; 0.06
30 ; offices_range1_agents ; 5 ; 0.06
31 ; offices_range1_agents ; 5 ; 0.06
32 ; offices_range1_agents ; 2 ; 0.07
33 ; offices_range1_agents ; 2 ; 0.07
34 ; offices_range1_agents ; 5 ; 0.07
35 ; offices_range1_agents ; 5 ; 0.07
36 ; offices_range1_agents ; 2 ; 0.08
37 ; offices_range1_agents ; 5 ; 0.08
38 ; offices_range1_agents ; 5 ; 0.09
39 ; offices_range1_agents ; 10 ; 0.09
40 ; offices_range1_agents ; 10 ; 0.09
41 ; offices_range1_agents ; 20 ; 0.09
42 ; offices_range1_agents ; 20 ; 0.09
43 ; offices_range1_agents ; 2 ; 0.1
44 ; offices_range1_agents ; 5 ; 0.1
45 ; offices_range1_agents ; 10 ; 0.1
46 ; offices_range1_agents ; 10 ; 0.1
47 ; offices_range1_agents ; 10 ; 0.1
48 ; offices_range1_agents ; 20 ; 0.1
49 ; offices_range1_agents ; 20 ; 0.1
50 ; offices_range1_agents ; 5 ; 0.11
51 ; offices_range1_agents ; 10 ; 0.11
52 ; offices_range1_agents ; 20 ; 0.11
53 ; offices_range1_agents ; 20 ; 0.11
54 ; offices_range1_agents ; 10 ; 0.13
55 ; offices_range1_agents ; 20 ; 0.13
